"BEZEICHNUNG","THIS_YEAR"
"Personalnahe Aufwendungen",15719000
"Versicherungen, Beiträge und Abgaben",3541000
"Leistungen und sonst. Forderungen",18897000
"Sonstiges",22714000
"Erträge aus Auflösung von Rückstellungen/abgegrenzten Schulden",2768000
"Erträge aus Umrechnungsdifferenzen",741000
"Erträge aus der Auflösung von Wertberichtigungen auf Forderungen",2412000
"Erträge aus verrechneten Sachbezügen",682000
"Erträge Sonstiges",5168000
"Aufzinsungen von Schulden",5175000
"Zinsaufwand aus Darlehen und Leasing",15773000
"Aufwendungen aus Fair-Value-Bewertungen",12020000
"Abschreibungen auf Finanzanlagen",272000
"währungsbedingte Aufwendungen",130000
"währungsbedingte Erträge",824000
"Zinserträge",4041000
"Erträge aus Fair-Value-Bewertungen",9663000
"Erträge aus der Veräußerung von Visa Europe Ltd.",0
"Erträge aus Wertpapieren und Ausleihungen",648000
"Kundenbeziehungen",452100000
"Selbsterstellte immaterielle Verm<f6>genswerte",138200000
"Sonstige immaterielle Verm<f6>genswerte",113300000
"2. Sachanlagen",81500000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",14000000
"Latente Steueranspr<fc>che",10800000
"1. Vorr<e4>te und unfertige Leistungen",10600000
"2. Forderungen aus dem Acquiringbereich",684900000
"Steuererstattungsanspr<fc>che",13100000
"5. Verzinsliche Wertpapiere und Festgelder",139600000
"6. Zahlungsmittel und Zahlungsmittel<e4>quivalente",2719800000
"Payment Processing & Risk Management",552600000
"Acquiring & Issuing",153000000
"Call Center & Communication Services",300000
"Abz<fc>glich: Impairment-Abschreibungen",0
"Visa Vorzugsaktien",23600000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",132900000
"Wandelanleihen",13200000
"Festverzinsliche Wertpapiere",2300000
"Festverzinsliche Wertpapiere/Collared Floater aus dem Bankenbereich",24700000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",123400000
"Sonstige M&A bedingte Verm<f6>genswerte",89500000
"Sonstiges",3900000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",98000000
"Forderungen aus dem Kartengesch<e4>ft",40300000
"Sonstige M&A bedingte Forderungen",31400000
"Sonstige Forderungen aus Lieferungen und Leistungen",115600000
"Sonstige Forderungen",72200000
"1. Gezeichnetes Kapital",123600000
"2. Kapitalr<fc>cklage",494700000
"3. Gewinnr<fc>cklagen",1375700000
"4. Sonstige Bestandteile des Eigenkapitals",71200000
"Langfristige verzinsliche Verbindlichkeiten",1348700000
"Latente Steuerschulden",80100000
"Verbindlichkeiten aus dem Acquiringbereich",651900000
"Verbindlichkeiten aus Lieferungen und Leistungen",63400000
"Verzinsliche Verbindlichkeiten",117400000
"Sonstige R<fc>ckstellungen",18500000
"Kundeneinlagen aus dem Bankgesch<e4>ft",1263000000
"Steuerr<fc>ckstellungen",38900000
"Earn-Out Verbindlichkeiten",5600000
"Leasingverbindlichkeiten",27200000
"Variable Verg<fc>tung und Vorsorgebez<fc>ge",2000000
"Sonstige M&A bedingte Verbindlichkeiten",120000000
"Abgegrenzte Schulden",65200000
"Sonstige M&A bedingte Verbindlichkeiten",45400000
"Leasingverbindlichkeiten",16500000
"Kaufpreisverbindlichkeiten",25900000
"Sonstige",33600000
"Sonstige langfristige Verbindlichkeiten",9100000
"Ergebnis nach Steuern",347400000
"Ergebnis aus dem Abgang von Verm<f6>genswerten",6600000
"Ver<e4>nderung von W<e4>hrungskursdifferenzen",700000
"Ver<e4>nderung der Vorr<e4>te",2800000
"Ver<e4>nderung der Forderungen",344900000
"Lieferungen und Leistungen",226200000
"Ver<e4>nderung der sonstigen Verm<f6>genswerte und Verbindlichkeiten",82400000
"Auszahlungssaldo aus Ertragsteuern",62200000
"Gezahlte Zinsen ohne Zinsen f<fc>r Darlehen und Finanzierungsleasing",4400000
"Erhaltene Zinsen",700000
"Ver<e4>nderung der langfristigen Aktiva aus dem Bankenbereich",33800000
"Ver<e4>nderung der kurzfristigen Forderungen aus dem Bankenbereich",34700000
"Ver<e4>nderung der Kundeneinlagen aus dem Bankgesch<e4>ft",283600000
"Auszahlungen f<fc>r Investitionen in immaterielle Verm<f6>genswerte",86200000
"Auszahlungen f<fc>r Investitionen in Sachanlagen",23500000
"Wertpapiere",115000000
"Wertpapiere",2000000
"Einzahlungen aus der Tilgung von Ausleihungen",0
"erworbener Zahlungsmittel",8900000
"Auszahlungen f<fc>r den Erwerb von Gesellschaften aus Vorjahren",29200000
"Tilgung Verbindlichkeiten aus Leasing",15300000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",898000000
"Auszahlungen f<fc>r Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",8300000
"Auszahlungen f<fc>r die Tilgung von Finanzverbindlichkeiten",507500000
"Dividendenaussch<fc>ttung",22200000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",12100000
"Zahlungswirksame Ver<e4>nderungen des Finanzmittelbestands",821300000
"Wechselkurs- und bewertungsbedingte <c4>nderungen des Finanzmittelbestands",14600000
"Umsatzerl<f6>se",2016200000
"Aktivierte Eigenleistungen",45100000
"Materialaufwand",1090000000
"Personalaufwand",234700000
"finanziellen Verm<f6>genswerten",31200000
"Unternehmen (at equity)",500000
"Ertragsteueraufwand",62100000
"verw<e4>ssert) in EUR",2810000
"Abschreibungen (M&A bereinigt)***",83400000
"Abschreibungen (M&A bedingt)",38700000
"Rechtsberatungs- und Abschlusskosten",17000000
"Beratungs- und beratungsnahe Kosten",28900000
"B<fc>rokosten",18300000
"Betriebsausstattung und Leasing",24900000
"Reise, Vertrieb und Marketing",23000000
"Personalnahe Aufwendungen",20100000
"Versicherungen, Beitr<e4>ge und Abgaben",6200000
"Sonstiges",18800000
"Ertr<e4>ge aus Aufl<f6>sung von R<fc>ckstellungen/abgegrenzten Schulden",4000000
"Ertr<e4>ge aus Umrechnungsdifferenzen",2700000
