"BEZEICHNUNG","THIS_YEAR"
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",18169000
"Wandelschuldverschreibungen",41337000
"Festverzinsliche Wertpapiere",1829000
"Bankenbereich",50377000
"FinTech-Bereich)",154249000
"Sonstige M&A bedingte Verm<f6>genswerte",26694000
"Sonstiges",11272000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",80848000
"Forderungen aus dem Kartengesch<e4>ft",35077000
"Sonstige Forderungen aus Lieferungen und Leistungen",76649000
"Sonstige Forderungen",75809000
"1. Gezeichnetes Kapital",123566000
"2. Kapitalr<fc>cklage",494682000
"3. Gewinnr<fc>cklagen",1135430000
"4. Sonstige Bestandteile des Eigenkapitals",83679000
"Langfristige verzinsliche Verbindlichkeiten",824499000
"Latente Steuerschulden",66387000
"Verbindlichkeiten aus dem Acquiringbereich",448429000
"Verbindlichkeiten aus Lieferungen und Leistungen",70190000
"Verzinsliche Verbindlichkeiten",313176000
"Sonstige R<fc>ckstellungen",4668000
"Kundeneinlagen aus dem Bankgesch<e4>ft",1031244000
"Steuerr<fc>ckstellungen",44121000
"Earn-Out Verbindlichkeiten",16974000
"Leasingverbindlichkeiten",12465000
"variable Verg<fc>tung und Vorsorgebez<fc>ge",294000
"Sonstige M&A bedingte Verbindlichkeiten",48706000
"Abgegrenzte Schulden",50507000
"Leasingverbindlichkeiten",12494000
"Kaufpreisverbindlichkeiten",43004000
"Sonstige",32333000
"Sonstige langfristige Verbindlichkeiten",8065000
"Ergebnis nach Steuern",70828000
"Ergebnis aus dem Abgang von Verm<f6>genswerten",0
"Ver<e4>nderung von W<e4>hrungskursdifferenzen",7000
"Ver<e4>nderung der Vorr<e4>te",1991000
"Ver<e4>nderung der Forderungen",32872000
"Lieferungen und Leistungen",24859000
"Ver<e4>nderung der sonstigen Verm<f6>genswerte und Verbindlichkeiten",8730000
"Auszahlungssaldo aus Ertragsteuern",13206000
"Gezahlte Zinsen ohne Zinsen f<fc>r Darlehen und und Finanzierungsleasing",1812000
"Erhaltene Zinsen",343000
"Ver<e4>nderung der langfristigen Aktiva aus dem Bankenbereich",24350000
"Ver<e4>nderung der kurzfristigen Forderungen aus dem Bankenbereich",89420000
"Ver<e4>nderung der Kundeneinlagen aus dem Bankgesch<e4>ft",59753000
"Auszahlungen f<fc>r Investitionen in immaterielle Verm<f6>genswerte",29548000
"Auszahlungen f<fc>r Investitionen in Sachanlagen",3943000
"Einzahlungen aus Investitionen in finanzielle Verm<f6>genswerte und verzinsliche Wertpapiere",2000000
"erworbener Zahlungsmittel",1861000
"Auszahlungen f<fc>r den Erwerb von Gesellschaften aus Vorjahren",0
"Tilgung Verbindlichkeiten aus Leasing",3496000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",70000000
"Auszahlungen f<fc>r Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",841000
"Auszahlungen f<fc>r die Tilgung von Finanzverbindlichkeiten",570000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",3458000
"Zahlungswirksame Ver<e4>nderungen des Finanzmittelbestands",57155000
"Wechselkurs- und bewertungsbedingte <c4>nderungen des Finanzmittelbestands",11536000
"Umsatzerl<f6>se",420450000
"Aktivierte Eigenleistungen",8661000
"Materialaufwand",230006000
"Personalaufwand",52459000
"Sonstige betriebliche Ertr<e4>ge",3131000
